Performance;All trades;Long trades;Short trades;
Total net profit;-51625,00 $;-16050,00 $;-35575,00 $;
Gross profit;920600,00 $;463500,00 $;457100,00 $;
Gross loss;-972225,00 $;-479550,00 $;-492675,00 $;
Commission;0,00 $;0,00 $;0,00 $;
Profit factor;0,95;0,97;0,93;
Max drawdown;-55950,00 $;-31875,00 $;-42050,00 $;
Sharpe ratio;-0,46;-0,15;-0,45;
Sortino ratio;-0,48;-0,17;-0,48;
Ulcer index;0,12;0,06;0,08;
R squared;0,66;0,01;0,87;
Probability;93,52 %;76,19 %;91,93 %;
;;;;
Start date;02/10/2018;;;
End date;01/01/2020;;;
;;;;
Total # of trades;12993;6455;6538;
Percent profitable;24,18 %;25,41 %;22,97 %;
# of winning trades;3142;1640;1502;
# of losing trades;8498;4158;4340;
# of even trades;1353;657;696;
;;;;
Total slippage;0;0;0;
;;;;
Avg trade;-3,97 $;-2,49 $;-5,44 $;
Avg winning trade;293,00 $;282,62 $;304,33 $;
Avg losing trade;-114,41 $;-115,33 $;-113,52 $;
Ratio avg win / avg loss;2,56;2,45;2,68;
;;;;
Max consec winners;11;8;8;
Max consec losers;23;18;19;
Largest winning trade;4500,00 $;3125,00 $;4500,00 $;
Largest losing trade;-4475,00 $;-2925,00 $;-4475,00 $;
;;;;
Avg # of trades per day;44,28;22,00;22,28;
Avg time in market;14,94 min;15,71 min;14,17 min;
Avg bars in trade;-0,02;-0,02;-0,02;
Profit per month;-3704,85 $;-1151,82 $;-2553,03 $;
Max time to recover;424,52 days;193,29 days;389,07 days;
Longest flat period;5,46 days;5,46 days;5,52 days;
;;;;
Avg MAE;134,85 $;135,49 $;134,22 $;
Avg MFE;221,85 $;220,67 $;223,02 $;
Avg ETD;225,83 $;223,16 $;228,46 $;
