Performance;Parameters;Total net profit;Gross profit;Gross loss;Profit factor;Max. drawdown;Total # of trades;Percent profitable;;;CLASES;Clase;Frecuencia;
1,002163153;38;4250;1968975;-1964725;1,002163153;-67175;29449;0,247818262;;;-140000;-140000;0;0
1,001335477;40;2575;1930725;-1928150;1,001335477;-68250;28653;0,244826022;;;-120000;-120000;3;0,085714286
1,000904017;33;1875;2075950;-2074075;1,000904017;-63850;31833;0,254170201;;;-100000;-100000;3;0,085714286
0,997205769;30;-6050;2159125;-2165175;0,997205769;-60650;33325;0,256744186;;;-80000;-80000;5;0,142857143
0,995900615;29;-9025;2192525;-2201550;0,995900615;-65325;33936;0,258928571;;;-60000;-60000;7;0,2
0,993914857;35;-12400;2025350;-2037750;0,993914857;-61625;30826;0,251735548;;;-40000;-40000;5;0,142857143
0,991885158;32;-17100;2090150;-2107250;0,991885158;-81775;32321;0,254447573;;;-20000;-20000;4;0,114285714
0,9903418;37;-19250;1973875;-1993125;0,9903418;-66475;29971;0,249174202;;;0;0;5;0,142857143
0,989470061;39;-20650;1940425;-1961075;0,989470061;-70575;29032;0,247485533;;;20000;20000;3;0,085714286
0,982239408;28;-40075;2216325;-2256400;0,982239408;-74900;34506;0,259491103;;;;y mayor...;0;0
0,981956691;31;-38725;2107500;-2146225;0,981956691;-87400;32784;0,256405564;;;;;35;
0,98142876;34;-38650;2042525;-2081175;0,98142876;-86975;31363;0,251729745;;;;;;
0,9809791;36;-38475;1984300;-2022775;0,9809791;-82750;30397;0,249827286;;;;;;
0,979239472;27;-47525;2241675;-2289200;0,979239472;-90300;35211;0,26048678;;;1,005;Clase;Frecuencia;
0,979152909;41;-40250;1890475;-1930725;0,979152909;-75725;28390;0,244205706;;;1;0,95;0;
0,973621714;46;-49150;1814125;-1863275;0,973621714;-87525;26758;0,23533149;;;0,995;0,955;2;
0,973286124;50;-48475;1766125;-1814600;0,973286124;-87825;25591;0,233206987;;;0,99;0,96;7;
0,972898669;23;-65800;2362125;-2427925;0,972898669;-121125;38210;0,266998168;;;0,985;0,965;3;
0,966689617;20;-85875;2492150;-2578025;0,966689617;-106800;40690;0,271418039;;;0,98;0,97;5;
0,966637475;25;-79050;2290375;-2369425;0,966637475;-109175;36665;0,263030138;;;0,975;0,975;3;
0,96596447;43;-65475;1858250;-1923725;0,96596447;-78675;27660;0,240455531;;;0,97;0,98;2;
0,965646389;44;-65125;1830600;-1895725;0,965646389;-108100;27318;0,23790175;;;0,965;0,985;4;
0,965609762;42;-66650;1871400;-1938050;0,965609762;-88900;27995;0,242007501;;;0,96;0,99;1;
0,964036031;47;-66875;1792625;-1859500;0,964036031;-87250;26466;0,235094083;;;0,955;0,995;3;
0,964005948;45;-67775;1815175;-1882950;0,964005948;-102075;27058;0,236750684;;;0,95;1;2;
0,962703916;22;-93050;2401850;-2494900;0,962703916;-115675;39008;0,267432322;;;;1,005;3;
0,959890477;17;-109500;2620525;-2730025;0,959890477;-128750;44080;0,278697822;;;;y mayor...;0;
0,959512398;26;-94825;2247250;-2342075;0,959512398;-111475;35949;0,260674845;;;;;;
0,95860408;21;-105275;2437850;-2543125;0,95860408;-117775;39876;0,269460327;;;;;;
0,957982953;19;-110425;2517675;-2628100;0,957982953;-128125;41656;0,272205685;;;-140000;Clase;Frecuencia;
0,957733261;15;-120475;2729875;-2850350;0,957733261;-131650;46630;0,282907999;;;-133000;-140000;0;
0,956700532;16;-120825;2669625;-2790450;0,956700532;-133575;45219;0,281032309;;;-126000;-133000;2;
0,95503461;48;-83150;1766050;-1849200;0,95503461;-94375;26187;0,235383969;;;-119000;-126000;3;
0,952249483;49;-87775;1750425;-1838200;0,952249483;-102850;25809;0,234801813;;;-112000;-119000;1;
0,950320447;24;-120150;2298350;-2418500;0,950320447;-138775;37407;0,265324672;;;-105000;-112000;2;
;;;;;;;;;;;-98000;-105000;4;
;;;;;;;;;;;-91000;-98000;2;
;;;;;;;;;;;-84000;-91000;1;
;;;;;;;;;;;-77000;-84000;7;
;;;;;;;;;;;-70000;-77000;3;
;;;;;;;;;;;-63000;-70000;3;
;;;;;;;;;;;-56000;-63000;5;
;;;;;;;;;;;;-56000;2;
;;;;;;;;;;;;y mayor...;0;
